Anio,Tipo,Sector,Gas,Cantidad
1990,METALES PESADOS,Plantas de combustión no industrial,Pb (t),1.579035128
1990,METALES PESADOS,Plantas de combustión no industrial,Se (t),0.22399249800000007
1990,METALES PESADOS,Plantas de combustión no industrial,Zn (t),0.543417794
1990,METALES PESADOS,Plantas de combustión no industrial,"PM2,5 (t)",0.0
1990,METALES PESADOS,Plantas de combustión no industrial,PM10 (t),0.0
1990,METALES PESADOS,Plantas de combustión no industrial,PST (t),0.0
1990,METALES PESADOS,Plantas de combustión no industrial,BC (t),0.0
1990,METALES PESADOS,Plantas de combustión industrial,As (t),10.273885254899998
1990,METALES PESADOS,Plantas de combustión industrial,Cd (t),19.407787074129995
1990,METALES PESADOS,Plantas de combustión industrial,Cr (t),15.53419839083
1990,METALES PESADOS,Plantas de combustión industrial,Cu (t),38.42911555712001
1990,METALES PESADOS,Plantas de combustión industrial,Hg (t),3.05314328072
1990,METALES PESADOS,Plantas de combustión industrial,Ni (t),109.75627790848003
1990,METALES PESADOS,Plantas de combustión industrial,Pb (t),139.08566158182006
1990,METALES PESADOS,Plantas de combustión industrial,Se (t),44.80890929054
1990,METALES PESADOS,Plantas de combustión industrial,Zn (t),113.44788964605999
1990,METALES PESADOS,Plantas de combustión industrial,"PM2,5 (t)",0.0
1990,METALES PESADOS,Plantas de combustión industrial,PM10 (t),0.0
1990,METALES PESADOS,Plantas de combustión industrial,PST (t),2505.62
1990,METALES PESADOS,Plantas de combustión industrial,BC (t),0.0
1990,METALES PESADOS,Procesos industriales sin combustión,As (t),0.09311092666800001
1990,METALES PESADOS,Procesos industriales sin combustión,Cd (t),0.97772445578
1990,METALES PESADOS,Procesos industriales sin combustión,Cr (t),1.0439216208720001
1990,METALES PESADOS,Procesos industriales sin combustión,Cu (t),0.361694279342
1990,METALES PESADOS,Procesos industriales sin combustión,Hg (t),2.451411171412
1990,METALES PESADOS,Procesos industriales sin combustión,Ni (t),5.519689516622
1990,METALES PESADOS,Procesos industriales sin combustión,Pb (t),13.885084847227999
1990,METALES PESADOS,Procesos industriales sin combustión,Se (t),0.017458932
1990,METALES PESADOS,Procesos industriales sin combustión,Zn (t),36.74135987355601
1990,METALES PESADOS,Procesos industriales sin combustión,"PM2,5 (t)",0.0
1990,METALES PESADOS,Procesos industriales sin combustión,PM10 (t),0.0
1990,METALES PESADOS,Procesos industriales sin combustión,PST (t),277.0
1990,METALES PESADOS,Procesos industriales sin combustión,BC (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,As (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Cd (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Cr (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Cu (t),0.0
